taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,o_fakePressure,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit
.\data\task_10,Design A 90% p2_150000,91.66561,45.23492,Design A,1.711503,0.9,DA,1,171150.3,.\data\comp3stg\task_10\rotor1\Mis_line1d_mid_rotor1_task_10.json,.\data\comp3stg\task_10\rotor2\Mis_line1d_mid_rotor2_task_10.json,.\data\comp3stg\task_10\rotor3\Mis_line1d_mid_rotor3_task_10.json,.\data\comp3stg\task_10\stator1\Mis_line1d_mid_stator1_task_10.json,.\data\comp3stg\task_10\stator2\Mis_line1d_mid_stator2_task_10.json,.\data\comp3stg\task_10\stator3\Mis_line1d_mid_stator3_task_10.json,.\data\comp3stg\task_10\rotor1\ent_area2d_exit_rotor1_task_10.json,.\data\comp3stg\task_10\rotor2\ent_area2d_exit_rotor2_task_10.json,.\data\comp3stg\task_10\rotor3\ent_area2d_exit_rotor3_task_10.json,.\data\comp3stg\task_10\stator1\ent_area2d_exit_stator1_task_10.json,.\data\comp3stg\task_10\stator2\ent_area2d_exit_stator2_task_10.json,.\data\comp3stg\task_10\stator3\ent_area2d_exit_stator3_task_10.json
.\data\task_11,Design A 90% p2_160000,92.74671,43.86845,Design A,1.788288,0.9,GAC,1.04,178828.8,.\data\comp3stg\task_11\rotor1\Mis_line1d_mid_rotor1_task_11.json,.\data\comp3stg\task_11\rotor2\Mis_line1d_mid_rotor2_task_11.json,.\data\comp3stg\task_11\rotor3\Mis_line1d_mid_rotor3_task_11.json,.\data\comp3stg\task_11\stator1\Mis_line1d_mid_stator1_task_11.json,.\data\comp3stg\task_11\stator2\Mis_line1d_mid_stator2_task_11.json,.\data\comp3stg\task_11\stator3\Mis_line1d_mid_stator3_task_11.json,.\data\comp3stg\task_11\rotor1\ent_area2d_exit_rotor1_task_11.json,.\data\comp3stg\task_11\rotor2\ent_area2d_exit_rotor2_task_11.json,.\data\comp3stg\task_11\rotor3\ent_area2d_exit_rotor3_task_11.json,.\data\comp3stg\task_11\stator1\ent_area2d_exit_stator1_task_11.json,.\data\comp3stg\task_11\stator2\ent_area2d_exit_stator2_task_11.json,.\data\comp3stg\task_11\stator3\ent_area2d_exit_stator3_task_11.json
.\data\task_12,Design A 90% p2_170000,93.24825,42.06959,Design A,1.866299,0.9,DA,0.96,186629.9,.\data\comp3stg\task_12\rotor1\Mis_line1d_mid_rotor1_task_12.json,.\data\comp3stg\task_12\rotor2\Mis_line1d_mid_rotor2_task_12.json,.\data\comp3stg\task_12\rotor3\Mis_line1d_mid_rotor3_task_12.json,.\data\comp3stg\task_12\stator1\Mis_line1d_mid_stator1_task_12.json,.\data\comp3stg\task_12\stator2\Mis_line1d_mid_stator2_task_12.json,.\data\comp3stg\task_12\stator3\Mis_line1d_mid_stator3_task_12.json,.\data\comp3stg\task_12\rotor1\ent_area2d_exit_rotor1_task_12.json,.\data\comp3stg\task_12\rotor2\ent_area2d_exit_rotor2_task_12.json,.\data\comp3stg\task_12\rotor3\ent_area2d_exit_rotor3_task_12.json,.\data\comp3stg\task_12\stator1\ent_area2d_exit_stator1_task_12.json,.\data\comp3stg\task_12\stator2\ent_area2d_exit_stator2_task_12.json,.\data\comp3stg\task_12\stator3\ent_area2d_exit_stator3_task_12.json
.\data\task_13,Design A 80% p2_90000,63.43448,41.99625,Design A,1.255136,0.8,GAC,1,125513.6,.\data\comp3stg\task_13\rotor1\Mis_line1d_mid_rotor1_task_13.json,.\data\comp3stg\task_13\rotor2\Mis_line1d_mid_rotor2_task_13.json,.\data\comp3stg\task_13\rotor3\Mis_line1d_mid_rotor3_task_13.json,.\data\comp3stg\task_13\stator1\Mis_line1d_mid_stator1_task_13.json,.\data\comp3stg\task_13\stator2\Mis_line1d_mid_stator2_task_13.json,.\data\comp3stg\task_13\stator3\Mis_line1d_mid_stator3_task_13.json,.\data\comp3stg\task_13\rotor1\ent_area2d_exit_rotor1_task_13.json,.\data\comp3stg\task_13\rotor2\ent_area2d_exit_rotor2_task_13.json,.\data\comp3stg\task_13\rotor3\ent_area2d_exit_rotor3_task_13.json,.\data\comp3stg\task_13\stator1\ent_area2d_exit_stator1_task_13.json,.\data\comp3stg\task_13\stator2\ent_area2d_exit_stator2_task_13.json,.\data\comp3stg\task_13\stator3\ent_area2d_exit_stator3_task_13.json
.\data\task_14,Design A 80% p2_100000,71.88521,41.95318,Design A,1.310277,0.8,DA,1.04,131027.7,.\data\comp3stg\task_14\rotor1\Mis_line1d_mid_rotor1_task_14.json,.\data\comp3stg\task_14\rotor2\Mis_line1d_mid_rotor2_task_14.json,.\data\comp3stg\task_14\rotor3\Mis_line1d_mid_rotor3_task_14.json,.\data\comp3stg\task_14\stator1\Mis_line1d_mid_stator1_task_14.json,.\data\comp3stg\task_14\stator2\Mis_line1d_mid_stator2_task_14.json,.\data\comp3stg\task_14\stator3\Mis_line1d_mid_stator3_task_14.json,.\data\comp3stg\task_14\rotor1\ent_area2d_exit_rotor1_task_14.json,.\data\comp3stg\task_14\rotor2\ent_area2d_exit_rotor2_task_14.json,.\data\comp3stg\task_14\rotor3\ent_area2d_exit_rotor3_task_14.json,.\data\comp3stg\task_14\stator1\ent_area2d_exit_stator1_task_14.json,.\data\comp3stg\task_14\stator2\ent_area2d_exit_stator2_task_14.json,.\data\comp3stg\task_14\stator3\ent_area2d_exit_stator3_task_14.json
.\data\task_15,Design A 80% p2_110000,79.37546,41.92112,Design A,1.358285,0.8,GAC,0.96,135828.5,.\data\comp3stg\task_15\rotor1\Mis_line1d_mid_rotor1_task_15.json,.\data\comp3stg\task_15\rotor2\Mis_line1d_mid_rotor2_task_15.json,.\data\comp3stg\task_15\rotor3\Mis_line1d_mid_rotor3_task_15.json,.\data\comp3stg\task_15\stator1\Mis_line1d_mid_stator1_task_15.json,.\data\comp3stg\task_15\stator2\Mis_line1d_mid_stator2_task_15.json,.\data\comp3stg\task_15\stator3\Mis_line1d_mid_stator3_task_15.json,.\data\comp3stg\task_15\rotor1\ent_area2d_exit_rotor1_task_15.json,.\data\comp3stg\task_15\rotor2\ent_area2d_exit_rotor2_task_15.json,.\data\comp3stg\task_15\rotor3\ent_area2d_exit_rotor3_task_15.json,.\data\comp3stg\task_15\stator1\ent_area2d_exit_stator1_task_15.json,.\data\comp3stg\task_15\stator2\ent_area2d_exit_stator2_task_15.json,.\data\comp3stg\task_15\stator3\ent_area2d_exit_stator3_task_15.json
.\data\task_16,Design A 80% p2_120000,86.00346,41.51446,Design A,1.418139,0.8,DA,1,141813.9,.\data\comp3stg\task_16\rotor1\Mis_line1d_mid_rotor1_task_16.json,.\data\comp3stg\task_16\rotor2\Mis_line1d_mid_rotor2_task_16.json,.\data\comp3stg\task_16\rotor3\Mis_line1d_mid_rotor3_task_16.json,.\data\comp3stg\task_16\stator1\Mis_line1d_mid_stator1_task_16.json,.\data\comp3stg\task_16\stator2\Mis_line1d_mid_stator2_task_16.json,.\data\comp3stg\task_16\stator3\Mis_line1d_mid_stator3_task_16.json,.\data\comp3stg\task_16\rotor1\ent_area2d_exit_rotor1_task_16.json,.\data\comp3stg\task_16\rotor2\ent_area2d_exit_rotor2_task_16.json,.\data\comp3stg\task_16\rotor3\ent_area2d_exit_rotor3_task_16.json,.\data\comp3stg\task_16\stator1\ent_area2d_exit_stator1_task_16.json,.\data\comp3stg\task_16\stator2\ent_area2d_exit_stator2_task_16.json,.\data\comp3stg\task_16\stator3\ent_area2d_exit_stator3_task_16.json
.\data\task_17,Design A 80% p2_130000,90.26699,40.48046,Design A,1.488192,0.8,GAC,1.04,148819.2,.\data\comp3stg\task_17\rotor1\Mis_line1d_mid_rotor1_task_17.json,.\data\comp3stg\task_17\rotor2\Mis_line1d_mid_rotor2_task_17.json,.\data\comp3stg\task_17\rotor3\Mis_line1d_mid_rotor3_task_17.json,.\data\comp3stg\task_17\stator1\Mis_line1d_mid_stator1_task_17.json,.\data\comp3stg\task_17\stator2\Mis_line1d_mid_stator2_task_17.json,.\data\comp3stg\task_17\stator3\Mis_line1d_mid_stator3_task_17.json,.\data\comp3stg\task_17\rotor1\ent_area2d_exit_rotor1_task_17.json,.\data\comp3stg\task_17\rotor2\ent_area2d_exit_rotor2_task_17.json,.\data\comp3stg\task_17\rotor3\ent_area2d_exit_rotor3_task_17.json,.\data\comp3stg\task_17\stator1\ent_area2d_exit_stator1_task_17.json,.\data\comp3stg\task_17\stator2\ent_area2d_exit_stator2_task_17.json,.\data\comp3stg\task_17\stator3\ent_area2d_exit_stator3_task_17.json
.\data\task_18,Design A 80% p2_140000,92.34322,38.85016,Design A,1.561516,0.8,DA,0.96,156151.6,.\data\comp3stg\task_18\rotor1\Mis_line1d_mid_rotor1_task_18.json,.\data\comp3stg\task_18\rotor2\Mis_line1d_mid_rotor2_task_18.json,.\data\comp3stg\task_18\rotor3\Mis_line1d_mid_rotor3_task_18.json,.\data\comp3stg\task_18\stator1\Mis_line1d_mid_stator1_task_18.json,.\data\comp3stg\task_18\stator2\Mis_line1d_mid_stator2_task_18.json,.\data\comp3stg\task_18\stator3\Mis_line1d_mid_stator3_task_18.json,.\data\comp3stg\task_18\rotor1\ent_area2d_exit_rotor1_task_18.json,.\data\comp3stg\task_18\rotor2\ent_area2d_exit_rotor2_task_18.json,.\data\comp3stg\task_18\rotor3\ent_area2d_exit_rotor3_task_18.json,.\data\comp3stg\task_18\stator1\ent_area2d_exit_stator1_task_18.json,.\data\comp3stg\task_18\stator2\ent_area2d_exit_stator2_task_18.json,.\data\comp3stg\task_18\stator3\ent_area2d_exit_stator3_task_18.json
.\data\task_19,Design A 80% p2_150000,93.20506,36.80598,Design A,1.637649,0.8,GAC,1,163764.9,.\data\comp3stg\task_19\rotor1\Mis_line1d_mid_rotor1_task_19.json,.\data\comp3stg\task_19\rotor2\Mis_line1d_mid_rotor2_task_19.json,.\data\comp3stg\task_19\rotor3\Mis_line1d_mid_rotor3_task_19.json,.\data\comp3stg\task_19\stator1\Mis_line1d_mid_stator1_task_19.json,.\data\comp3stg\task_19\stator2\Mis_line1d_mid_stator2_task_19.json,.\data\comp3stg\task_19\stator3\Mis_line1d_mid_stator3_task_19.json,.\data\comp3stg\task_19\rotor1\ent_area2d_exit_rotor1_task_19.json,.\data\comp3stg\task_19\rotor2\ent_area2d_exit_rotor2_task_19.json,.\data\comp3stg\task_19\rotor3\ent_area2d_exit_rotor3_task_19.json,.\data\comp3stg\task_19\stator1\ent_area2d_exit_stator1_task_19.json,.\data\comp3stg\task_19\stator2\ent_area2d_exit_stator2_task_19.json,.\data\comp3stg\task_19\stator3\ent_area2d_exit_stator3_task_19.json
.\data\task_20,Design B 100% p2_140000,83.0014,51.77788,Design B,1.70802,1,DA,1.04,170802,.\data\comp3stg\task_20\rotor1\Mis_line1d_mid_rotor1_task_20.json,.\data\comp3stg\task_20\rotor2\Mis_line1d_mid_rotor2_task_20.json,.\data\comp3stg\task_20\rotor3\Mis_line1d_mid_rotor3_task_20.json,.\data\comp3stg\task_20\stator1\Mis_line1d_mid_stator1_task_20.json,.\data\comp3stg\task_20\stator2\Mis_line1d_mid_stator2_task_20.json,.\data\comp3stg\task_20\stator3\Mis_line1d_mid_stator3_task_20.json,.\data\comp3stg\task_20\rotor1\ent_area2d_exit_rotor1_task_20.json,.\data\comp3stg\task_20\rotor2\ent_area2d_exit_rotor2_task_20.json,.\data\comp3stg\task_20\rotor3\ent_area2d_exit_rotor3_task_20.json,.\data\comp3stg\task_20\stator1\ent_area2d_exit_stator1_task_20.json,.\data\comp3stg\task_20\stator2\ent_area2d_exit_stator2_task_20.json,.\data\comp3stg\task_20\stator3\ent_area2d_exit_stator3_task_20.json
.\data\task_21,Design B 100% p2_150000,86.6887,51.74968,Design B,1.786447,1,GAC,0.96,178644.7,.\data\comp3stg\task_21\rotor1\Mis_line1d_mid_rotor1_task_21.json,.\data\comp3stg\task_21\rotor2\Mis_line1d_mid_rotor2_task_21.json,.\data\comp3stg\task_21\rotor3\Mis_line1d_mid_rotor3_task_21.json,.\data\comp3stg\task_21\stator1\Mis_line1d_mid_stator1_task_21.json,.\data\comp3stg\task_21\stator2\Mis_line1d_mid_stator2_task_21.json,.\data\comp3stg\task_21\stator3\Mis_line1d_mid_stator3_task_21.json,.\data\comp3stg\task_21\rotor1\ent_area2d_exit_rotor1_task_21.json,.\data\comp3stg\task_21\rotor2\ent_area2d_exit_rotor2_task_21.json,.\data\comp3stg\task_21\rotor3\ent_area2d_exit_rotor3_task_21.json,.\data\comp3stg\task_21\stator1\ent_area2d_exit_stator1_task_21.json,.\data\comp3stg\task_21\stator2\ent_area2d_exit_stator2_task_21.json,.\data\comp3stg\task_21\stator3\ent_area2d_exit_stator3_task_21.json
.\data\task_22,Design B 100% p2_160000,90.13701,51.55848,Design B,1.865749,1,DA,1,186574.9,.\data\comp3stg\task_22\rotor1\Mis_line1d_mid_rotor1_task_22.json,.\data\comp3stg\task_22\rotor2\Mis_line1d_mid_rotor2_task_22.json,.\data\comp3stg\task_22\rotor3\Mis_line1d_mid_rotor3_task_22.json,.\data\comp3stg\task_22\stator1\Mis_line1d_mid_stator1_task_22.json,.\data\comp3stg\task_22\stator2\Mis_line1d_mid_stator2_task_22.json,.\data\comp3stg\task_22\stator3\Mis_line1d_mid_stator3_task_22.json,.\data\comp3stg\task_22\rotor1\ent_area2d_exit_rotor1_task_22.json,.\data\comp3stg\task_22\rotor2\ent_area2d_exit_rotor2_task_22.json,.\data\comp3stg\task_22\rotor3\ent_area2d_exit_rotor3_task_22.json,.\data\comp3stg\task_22\stator1\ent_area2d_exit_stator1_task_22.json,.\data\comp3stg\task_22\stator2\ent_area2d_exit_stator2_task_22.json,.\data\comp3stg\task_22\stator3\ent_area2d_exit_stator3_task_22.json
.\data\task_23,Design B 100% p2_170000,91.49876,50.79425,Design B,1.944848,1,GAC,1.04,194484.8,.\data\comp3stg\task_23\rotor1\Mis_line1d_mid_rotor1_task_23.json,.\data\comp3stg\task_23\rotor2\Mis_line1d_mid_rotor2_task_23.json,.\data\comp3stg\task_23\rotor3\Mis_line1d_mid_rotor3_task_23.json,.\data\comp3stg\task_23\stator1\Mis_line1d_mid_stator1_task_23.json,.\data\comp3stg\task_23\stator2\Mis_line1d_mid_stator2_task_23.json,.\data\comp3stg\task_23\stator3\Mis_line1d_mid_stator3_task_23.json,.\data\comp3stg\task_23\rotor1\ent_area2d_exit_rotor1_task_23.json,.\data\comp3stg\task_23\rotor2\ent_area2d_exit_rotor2_task_23.json,.\data\comp3stg\task_23\rotor3\ent_area2d_exit_rotor3_task_23.json,.\data\comp3stg\task_23\stator1\ent_area2d_exit_stator1_task_23.json,.\data\comp3stg\task_23\stator2\ent_area2d_exit_stator2_task_23.json,.\data\comp3stg\task_23\stator3\ent_area2d_exit_stator3_task_23.json
.\data\task_24,Design B 100% p2_180000,92.27178,49.72235,Design B,2.02485,1,DA,0.96,202485,.\data\comp3stg\task_24\rotor1\Mis_line1d_mid_rotor1_task_24.json,.\data\comp3stg\task_24\rotor2\Mis_line1d_mid_rotor2_task_24.json,.\data\comp3stg\task_24\rotor3\Mis_line1d_mid_rotor3_task_24.json,.\data\comp3stg\task_24\stator1\Mis_line1d_mid_stator1_task_24.json,.\data\comp3stg\task_24\stator2\Mis_line1d_mid_stator2_task_24.json,.\data\comp3stg\task_24\stator3\Mis_line1d_mid_stator3_task_24.json,.\data\comp3stg\task_24\rotor1\ent_area2d_exit_rotor1_task_24.json,.\data\comp3stg\task_24\rotor2\ent_area2d_exit_rotor2_task_24.json,.\data\comp3stg\task_24\rotor3\ent_area2d_exit_rotor3_task_24.json,.\data\comp3stg\task_24\stator1\ent_area2d_exit_stator1_task_24.json,.\data\comp3stg\task_24\stator2\ent_area2d_exit_stator2_task_24.json,.\data\comp3stg\task_24\stator3\ent_area2d_exit_stator3_task_24.json
